@relation ChordsWithGenre

@attribute genre	{Jazz, Indie, Pop, Folk, Rock, R&B, Reggae, Hip-Hop, Alternative, Contemporary, Country, Punk}
@attribute c1		{Em, A, C, Dm, E, D, G, F, C#, Ebm, F7, Am, E#, Em7, G#, Dm7, Gm, C7, Fm, Am7, Cb}
@attribute c2		{Dm7, G7, Dm, Bb, C#, E#, Fb, G#, E7, C7, Fm, A, C, B, E, D, G, F, Em, F7, Cb, B#, Am, D#, F#, D7, Gm, Am7}
@attribute c3		{Dm7, G7, Dm, Bb, C#, E#, Fb, G#, C7, A, C, B, E, D, G, F, Em, F7, Cb, B#, Am, D#, D7, Gm, Am7}
@attribute c4		{Bbm, Em7, G7, Dm, Bb, C#, Bm, E#, G#, E7, C7, Fm, A, C, E, D, G, F, Fm7, Em, Ab, Cm, F7, Cb, B#, Am, Eb, Gb, Am7}
@attribute c5		{Em7, Dm7, G7, Dm, Bb, C#, Db, E#, Fb, G#, E7, C7, Bm7, A, C, E, D, G, F, Em, F7, Cb, Am, D#, Eb, Gb, Am7}
@attribute c6		{Dm7, G7, Dm, Bb, Bm, G#, A7, E7, C7, Fm, A, C, B, E, D, G, F, Em, Cm, F7, Cb, Am, B7, Ebm, D7, Gm, Am7}
@attribute c7		{Em7, Dm7, G7, A#, Dm, Bb, C#, Fb, G#, E7, C7, A, C, B, D, G, F, Gm7, Em, Cm, F7, Cb, B#, Am, Eb, Gm, Am7}
@attribute class		{Dm7, C7#, G7, Dm, Bb, C#, E#, Fb, G#, E7, Fm, A, C, E, D, G, F, Em, Cm, F7, Cb, Am, F#, Gb, Ebm, Am7}

@data
R&B, C, Em, Am, F, C, Em, Am, F
R&B, C, G, Am, F, C, G, Am, F
R&B, G, G, E#, C, F, F, Dm, Bb
Pop, Am, Dm, G, C, Em, Am, Dm, G
Pop, C, F, Am, G7, G, C, F, Am
Pop, C, F, Am, G, F, G, C, C
Pop, C, C, G, G, F, F, G, C
Pop, C, F, Am, G, F, G, C, C
Pop, C, F, Am7, G, C, F, Am7, F
Pop, C, G, Am, F, C, G, Am, F
Pop, Am, F, G, Am, Am, G, F, G
Pop, Dm, Dm, A, Cb, A, Cb, Bb, Cb
Pop, Dm, Dm, A, Cb, A, Cb, Dm, A
Pop, Am, Am, E, G, E, G, Am, E
Pop, Dm7, E#, A, A, Dm, Bb, G, Dm7
Pop, Am, Am, F, D, Am, F, D, Am
Pop, Am7, E7, F, C, G, C, Am7, E7
Pop, Am, Em, Am, Em, Am, Em, Am, Fb
Pop, G, C, G, G, C, C, G, G
Pop, C, C, Am, Am, E#, G, C, C
Pop, Em7, C7, G7, G7, Em7, C7, C7, G7
Pop, G, Em, Cb, G, G, Em, Cb, G
Pop, C, Dm, C, Bb, Am, Gm, C, Dm
Pop, C, F, Dm, G, C, F, Dm, G
Alternative, C, F, Bb, Eb, G, C, Bb, F
Alternative, F, C, F, F, C, F, Dm, F
Alternative, Am, A, F, C, Dm, F, Am, G
Alternative, Am, Am, F, Fm7, C, Dm7, Am, G
Alternative, Am7, F, C, G, C, Am7, G, F
Pop, C, F, G, C, F, Am, G, F
Pop, C, F, Am7, G, F, G, C, C
Pop, C, F, Am, G, F, G, C, C
Rock, C, G, C, G7, G7, G7, C, Fb
Rock, C, G7, C, F, C, G7, C, C
Rock, C, G, G7, C7, F, F, Dm7, Bb
Rock, C, G, G7, C, F, C, G, G7
Rock, C, G7, C, F, C, G7, C, C
Rock, C, G, G7, F, C, F, C, G
Rock, C, G, Am, F, C, G, F, C
Rock, C, G, Am, F, C, G, F, C
Pop, Am, Am, Am, Am, Em, Am, F, E
Alternative, Am, C, F, C, G, Am, C, G
Alternative, Am, C, F, C, G, Am, C, G
Alternative, Am, C, F, C, C, Am, C, G
Indie, G, B, Fb, Cb, G, B, Fb, Cb
Indie, Dm, F, C, G, Dm, F, C, G
Indie, Dm, F, C, G, C, Dm, F, C
Indie, Dm, F, Cb, Gb, Dm, F, Cb, Gb
Indie, Em, G#, C#, G#, Em, G#, C#, G#
Indie, Dm, F, B#, Gb, Dm, F, B#, Gb
Hip-Hop, Ebm, F, G#, Ab, C#, Ebm, F, G#
Alternative, C, Gm, Bb, F, C7, Dm, G#, C
Alternative, G, G, Dm, C, Am, F, G, Dm
Pop, F, G, C, Am, F, C, G, Am
Pop, Em, Fm, C, Cm, Dm, Cm, Bb, Cm
Pop, Dm, Bb, Dm, Dm, Dm, Bb, Em7, Dm
Pop, G, G, G, Cb, G, G, G, Cb
Pop, Am, C, Dm, F, Am, C, Dm, F
Pop, A, Dm, Am, G, E, Dm, C, G
Pop, Am, C, Dm, G, Am, F, Dm, Bb
Pop, C, Gm, F, Em, F, Em, C, G
Pop, Dm, G, C, F, C, Dm, G, C
Pop, Dm, G, C, F, F, Dm, G, C
Pop, Dm, G, C, F, F, Dm, G, Dm
Pop, G, F, C, F, G, F, C, F
Pop, F, C, Dm, C, G, Am, C, G
Pop, Am, Dm, G7, Am, Am, Dm, C, G
Pop, Am, F, Am, F, C, F, E7, C
Pop, C, Am, Am, C, Am, C, F, Em
Pop, F, C, F, C, F, C, F, C
Pop, Dm, C, Am, Em, Dm, C, Dm, C
Pop, F, C, F, C, F, C, F, C
Pop, C, G, Bb, F, C, F, G, F
