@relation ChordsWithoutGenre

@attribute c1		{Em, A, C, Dm, E, D, G, F, C#, Ebm, F7, Am, E#, Em7, G#, Dm7, Gm, C7, Fm, Am7, Cb}
@attribute c2		{Dm7, G7, Dm, Bb, C#, E#, Fb, G#, E7, C7, Fm, A, C, B, E, D, G, F, Em, F7, Cb, B#, Am, D#, F#, D7, Gm, Am7}
@attribute c3		{Dm7, G7, Dm, Bb, C#, E#, Fb, G#, C7, A, C, B, E, D, G, F, Em, F7, Cb, B#, Am, D#, D7, Gm, Am7}
@attribute c4		{Bbm, Em7, G7, Dm, Bb, C#, Bm, E#, G#, E7, C7, Fm, A, C, E, D, G, F, Fm7, Em, Ab, Cm, F7, Cb, B#, Am, Eb, Gb, Am7}
@attribute c5		{Em7, Dm7, G7, Dm, Bb, C#, Db, E#, Fb, G#, E7, C7, Bm7, A, C, E, D, G, F, Em, F7, Cb, Am, D#, Eb, Gb, Am7}
@attribute c6		{Dm7, G7, Dm, Bb, Bm, G#, A7, E7, C7, Fm, A, C, B, E, D, G, F, Em, Cm, F7, Cb, Am, B7, Ebm, D7, Gm, Am7}
@attribute c7		{Em7, Dm7, G7, A#, Dm, Bb, C#, Fb, G#, E7, C7, A, C, B, D, G, F, Gm7, Em, Cm, F7, Cb, B#, Am, Eb, Gm, Am7}
@attribute class		{Dm7, C7#, G7, Dm, Bb, C#, E#, Fb, G#, E7, Fm, A, C, E, D, G, F, Em, Cm, F7, Cb, Am, F#, Gb, Ebm, Am7}

@data
C, Em, Am, F, C, Em, Am, F
C, G, Am, F, C, G, Am, F
G, G, E#, C, F, F, Dm, Bb
Am, Dm, G, C, Em, Am, Dm, G
C, F, Am, G7, G, C, F, Am
C, F, Am, G, F, G, C, C
C, C, G, G, F, F, G, C
C, F, Am, G, F, G, C, C
C, F, Am7, G, C, F, Am7, F
C, G, Am, F, C, G, Am, F
Am, F, G, Am, Am, G, F, G
Dm, Dm, A, Cb, A, Cb, Bb, Cb
Dm, Dm, A, Cb, A, Cb, Dm, A
Am, Am, E, G, E, G, Am, E
Dm7, E#, A, A, Dm, Bb, G, Dm7
Am, Am, F, D, Am, F, D, Am
Am7, E7, F, C, G, C, Am7, E7
Am, Em, Am, Em, Am, Em, Am, Fb
G, C, G, G, C, C, G, G
C, C, Am, Am, E#, G, C, C
Em7, C7, G7, G7, Em7, C7, C7, G7
G, Em, Cb, G, G, Em, Cb, G
C, Dm, C, Bb, Am, Gm, C, Dm
C, F, Dm, G, C, F, Dm, G
C, F, Bb, Eb, G, C, Bb, F
F, C, F, F, C, F, Dm, F
Am, A, F, C, Dm, F, Am, G
Am, Am, F, Fm7, C, Dm7, Am, G
Am7, F, C, G, C, Am7, G, F
C, F, G, C, F, Am, G, F
C, F, Am7, G, F, G, C, C
C, F, Am, G, F, G, C, C
C, G, C, G7, G7, G7, C, Fb
C, G7, C, F, C, G7, C, C
C, G, G7, C7, F, F, Dm7, Bb
C, G, G7, C, F, C, G, G7
C, G7, C, F, C, G7, C, C
C, G, G7, F, C, F, C, G
C, G, Am, F, C, G, F, C
C, G, Am, F, C, G, F, C
Am, Am, Am, Am, Em, Am, F, E
Am, C, F, C, G, Am, C, G
Am, C, F, C, G, Am, C, G
Am, C, F, C, C, Am, C, G
G, B, Fb, Cb, G, B, Fb, Cb
Dm, F, C, G, Dm, F, C, G
Dm, F, C, G, C, Dm, F, C
Dm, F, Cb, Gb, Dm, F, Cb, Gb
Em, G#, C#, G#, Em, G#, C#, G#
Dm, F, B#, Gb, Dm, F, B#, Gb
Ebm, F, G#, Ab, C#, Ebm, F, G#
C, Gm, Bb, F, C7, Dm, G#, C
G, G, Dm, C, Am, F, G, Dm
F, G, C, Am, F, C, G, Am
Em, Fm, C, Cm, Dm, Cm, Bb, Cm
Dm, Bb, Dm, Dm, Dm, Bb, Em7, Dm
G, G, G, Cb, G, G, G, Cb
Am, C, Dm, F, Am, C, Dm, F
A, Dm, Am, G, E, Dm, C, G
Am, C, Dm, G, Am, F, Dm, Bb
C, Gm, F, Em, F, Em, C, G
Dm, G, C, F, C, Dm, G, C
Dm, G, C, F, F, Dm, G, C
