'C', 'Em', 'Am', 'F', 'C', 'Em', 'Am', 'F'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'C', 'C', 'A#', 'F', 'A#', 'A#', 'Gm', 'D#'
'Am', 'Dm', 'G', 'C', 'Em', 'Am', 'Dm', 'G'
'C', 'Am', 'Dm', 'F', 'C', 'Am', 'Dm', 'F'
'C', 'G', 'Am', 'F', 'Dm', 'C', 'G', 'Am'
'C', 'C', 'G', 'Am7', 'G', 'F', 'C', 'D'
'Cb', 'Am', 'Fb', 'G', 'Cb', 'Am', 'Fb', 'G'
'Cb', 'Cb', 'G', 'G', 'Am', 'Fb', 'Dm', 'C'
'C', 'G', 'Am', 'G', 'F', 'F', 'F', 'Am'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'Am', 'E7', 'G', 'D', 'F', 'C', 'Dm', 'E'
'Am', 'E7', 'G', 'D7', 'F', 'C', 'Dm', 'Am'
'C', 'Am', 'F', 'C', 'F', 'C', 'Am', 'F'
'B#', 'C', 'B#', 'Am', 'F', 'C', 'C', 'B#'
'C', 'F', 'F', 'Bm', 'G', 'Dm7', 'Am', 'G#'
'A#', 'F', 'Dm', 'A#', 'F', 'A#', 'F', 'Dm'
'C', 'Am', 'C', 'Am', 'Dm', 'F', 'C', 'G'
'C', 'C', 'C', 'C', 'C', 'C', 'C', 'Am'
'C', 'C', 'C', 'C', 'C', 'B#', 'C', 'C'
'C', 'C', 'Am', 'F', 'C', 'C', 'C', 'Am'
'C', 'F', 'Am', 'C', 'F', 'C', 'F', 'Am'
'C', 'C', 'Am', 'F', 'C', 'C', 'C', 'Am'
'C', 'G', 'Am', 'G', 'C', 'C', 'G', 'Am'
'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C'
'A#', 'F', 'F', 'C', 'C', 'A#', 'F', 'A#'
'F', 'C', 'F', 'C', 'F', 'C', 'G', 'F'
'C', 'F', 'C', 'F', 'C', 'F', 'C', 'G'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'C', 'Am', 'C', 'Am', 'C', 'Am', 'F', 'G'
'C', 'A7', 'C', 'A7', 'F', 'G', 'C', 'G'
'C', 'Am', 'C', 'Am', 'C', 'Am', 'F', 'G'
'C', 'Em', 'Dm', 'G', 'C', 'Em', 'Dm', 'G'
'Am7', 'C', 'G', 'D7', 'D7', 'F', 'C', 'G'
'C', 'G7', 'A#', 'G', 'Dm', 'F', 'C', 'G7'
'G', 'D7', 'G', 'F', 'Am7', 'C', 'Am7', 'C'
'Am', 'C', 'G', 'Dm', 'Am', 'C', 'G', 'Dm'
'C', 'F', 'Am', 'G7', 'G', 'C', 'F', 'Am'
'C', 'F', 'Am', 'G', 'F', 'G', 'C', 'C'
'C', 'C', 'G', 'G', 'F', 'F', 'G', 'C'
'C', 'F', 'Am', 'G', 'F', 'G', 'C', 'C'
'C', 'F', 'Am7', 'G', 'C', 'F', 'Am7', 'F'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'C', 'C', 'C', 'Dm', 'Am', 'C', 'Dm', 'Am'
'C#', 'C#', 'G#', 'Am', 'F', 'C#', 'G#', 'Am'
'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am'
'Am', 'F', 'G', 'Am', 'Am', 'G', 'F', 'G'
'Dm', 'Dm', 'A', 'Cb', 'A', 'Cb', 'A#', 'Cb'
'Dm', 'Dm', 'A', 'Cb', 'A', 'Cb', 'Dm', 'A'
'Am', 'Am', 'E', 'G', 'E', 'G', 'Am', 'E'
'Dm7', 'E#', 'A', 'A', 'Dm', 'A#', 'G', 'Dm7'
'Am', 'Am', 'F', 'D', 'Am', 'F', 'D', 'Am'
'Am', 'F', 'C', 'Am', 'F', 'C', 'Am', 'F'
'Am7', 'E7', 'F', 'C', 'G', 'C', 'Am7', 'E7'
'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Am', 'Fb'
'G', 'C', 'G', 'G', 'C', 'C', 'G', 'G'
'C', 'C', 'Am', 'Am', 'E#', 'G', 'C', 'C'
'Em7', 'C7', 'G7', 'G7', 'Em7', 'C7', 'C7', 'G7'
'G', 'Em', 'Cb', 'G', 'G', 'Em', 'Cb', 'G'
'C', 'Dm', 'C', 'A#', 'Am', 'Gm', 'C', 'Dm'
'C', 'F', 'Dm', 'G', 'C', 'F', 'Dm', 'G'
'E', 'Cb', 'G', 'G', 'D', 'G', 'G', 'E'
'Am', 'F', 'C', 'C', 'D', 'Am', 'F', 'C'
'Am', 'F', 'C', 'Dm', 'G', 'Am', 'F', 'C'
'C', 'F', 'A#', 'D#', 'G', 'C', 'A#', 'F'
'C', 'G', 'C', 'C', 'G', 'C', 'Am', 'C'
'Am', 'A', 'F', 'C', 'Dm', 'F', 'Am', 'G'
'Am', 'Am', 'F', 'F7m', 'C', 'Dm7', 'Am', 'G'
'Dm7', 'A#', 'F', 'C', 'F', 'Dm7', 'C', 'A#'
'G', 'F', 'C', 'G', 'G', 'F', 'C', 'G'
'Am', 'C', 'D', 'F7', 'Am', 'F7', 'Am', 'C'
'C', 'D', 'F', 'Am', 'C', 'G', 'Am', 'C'
'Am', 'G', 'C', 'D', 'F', 'G', 'Am', 'Am'
'Am', 'G#', 'C', 'D', 'F', 'G', 'Am', 'Am'
'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G'
'F', 'C', 'Am', 'G#', 'F', 'C', 'Am', 'G#'
'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G'
'Dm', 'F', 'F', 'G', 'Am7', 'C', 'Am7', 'G'
'Dm', 'C', 'C', 'Dm', 'C', 'A#', 'Dm', 'C'
'Am', 'Em', 'C', 'F', 'C', 'G', 'Am', 'Em'
'Am', 'G', 'C', 'F', 'C', 'G', 'C', 'F'
'G', 'Am', 'C', 'F', 'C', 'G', 'G', 'C'
'C', 'F', 'G', 'C', 'F', 'Am', 'G', 'F'
'C', 'F', 'Am7', 'G', 'F', 'G', 'C', 'C'
'C', 'F', 'Am', 'G', 'F', 'G', 'C', 'C'
'F', 'C', 'Dm', 'G', 'C', 'F', 'A#', 'F'
'C', 'F', 'Am', 'F', 'C', 'Am', 'D', 'G'
'C', 'Am', 'C', 'Am', 'F', 'G', 'Am', 'G'
'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am'
'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am'
'C', 'Em', 'C', 'Em', 'Am', 'F', 'G', 'Am'
'F', 'Am', 'G', 'F', 'Am', 'G', 'Am', 'F'
'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am'
'Am', 'F', 'C', 'G', 'Am', 'F', 'Am', 'F'
'C', 'Am', 'Em', 'G', 'Am', 'Em', 'Am', 'Em'
'C', 'G', 'C', 'G7', 'G7', 'G7', 'C', 'Fb'
'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'C'
'C', 'G', 'G7', 'C7', 'F', 'F', 'Dm7', 'A#'
'C', 'G', 'G7', 'C', 'F', 'C', 'G', 'G7'
'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'C'
'C', 'G', 'G7', 'F', 'C', 'F', 'C', 'G'
'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C'
'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C'
'Am', 'Am', 'Am', 'Am', 'Em', 'Am', 'F', 'E'
'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G'
'G', 'F', 'C', 'Am7', 'G', 'G', 'F', 'C'
'C', 'F', 'F7', 'G', 'F', 'C', 'G', 'F'
'Dm', 'Fb', 'Cb', 'Gm', 'A#', 'Gm', 'A#', 'Fb'
